2019-04-07 18:39:43 startup archives install
2019-04-07 18:39:43 install base-passwd:i386 <none> 3.5.43
2019-04-07 18:39:43 status half-installed base-passwd:i386 3.5.43
2019-04-07 18:39:45 status unpacked base-passwd:i386 3.5.43
2019-04-07 18:39:45 status unpacked base-passwd:i386 3.5.43
2019-04-07 18:39:45 configure base-passwd:i386 3.5.43 3.5.43
2019-04-07 18:39:45 status unpacked base-passwd:i386 3.5.43
2019-04-07 18:39:46 status half-configured base-passwd:i386 3.5.43
2019-04-07 18:39:46 status installed base-passwd:i386 3.5.43
2019-04-07 18:39:47 startup archives install
2019-04-07 18:39:47 install base-files:i386 <none> 9.9+deb9u8
2019-04-07 18:39:47 status half-installed base-files:i386 9.9+deb9u8
2019-04-07 18:39:48 status unpacked base-files:i386 9.9+deb9u8
2019-04-07 18:39:48 status unpacked base-files:i386 9.9+deb9u8
2019-04-07 18:39:49 configure base-files:i386 9.9+deb9u8 9.9+deb9u8
2019-04-07 18:39:49 status unpacked base-files:i386 9.9+deb9u8
2019-04-07 18:39:49 status unpacked base-files:i386 9.9+deb9u8
2019-04-07 18:39:49 status unpacked base-files:i386 9.9+deb9u8
2019-04-07 18:39:49 status unpacked base-files:i386 9.9+deb9u8
2019-04-07 18:39:49 status unpacked base-files:i386 9.9+deb9u8
2019-04-07 18:39:50 status unpacked base-files:i386 9.9+deb9u8
2019-04-07 18:39:50 status unpacked base-files:i386 9.9+deb9u8
2019-04-07 18:39:50 status half-configured base-files:i386 9.9+deb9u8
2019-04-07 18:39:50 status installed base-files:i386 9.9+deb9u8
2019-04-07 18:39:51 startup archives install
2019-04-07 18:39:51 upgrade dpkg 1.18.25 1.18.25
2019-04-07 18:39:51 status half-configured dpkg 1.18.25
2019-04-07 18:39:51 status unpacked dpkg 1.18.25
2019-04-07 18:39:51 status half-installed dpkg 1.18.25
2019-04-07 18:39:57 status half-installed dpkg 1.18.25
2019-04-07 18:39:57 status unpacked dpkg:i386 1.18.25
2019-04-07 18:39:57 status unpacked dpkg:i386 1.18.25
2019-04-07 18:39:57 configure dpkg:i386 1.18.25 1.18.25
2019-04-07 18:39:57 status unpacked dpkg:i386 1.18.25
2019-04-07 18:39:58 status unpacked dpkg:i386 1.18.25
2019-04-07 18:39:58 status unpacked dpkg:i386 1.18.25
2019-04-07 18:39:58 status unpacked dpkg:i386 1.18.25
2019-04-07 18:39:58 status unpacked dpkg:i386 1.18.25
2019-04-07 18:39:59 status half-configured dpkg:i386 1.18.25
2019-04-07 18:39:59 status installed dpkg:i386 1.18.25
