2019-09-16 15:09:07 startup archives install
2019-09-16 15:09:08 install base-passwd:amd64 <none> 3.5.46
2019-09-16 15:09:08 status half-installed base-passwd:amd64 3.5.46
2019-09-16 15:09:10 status unpacked base-passwd:amd64 3.5.46
2019-09-16 15:09:11 configure base-passwd:amd64 3.5.46 3.5.46
2019-09-16 15:09:11 status half-configured base-passwd:amd64 3.5.46
2019-09-16 15:09:12 status installed base-passwd:amd64 3.5.46
2019-09-16 15:09:13 startup archives install
2019-09-16 15:09:13 install base-files:amd64 <none> 10.3+deb10u1
2019-09-16 15:09:13 status half-installed base-files:amd64 10.3+deb10u1
2019-09-16 15:09:16 status unpacked base-files:amd64 10.3+deb10u1
2019-09-16 15:09:16 configure base-files:amd64 10.3+deb10u1 10.3+deb10u1
2019-09-16 15:09:19 status half-configured base-files:amd64 10.3+deb10u1
2019-09-16 15:09:20 status installed base-files:amd64 10.3+deb10u1
2019-09-16 15:09:21 startup archives install
2019-09-16 15:09:21 upgrade dpkg 1.19.7 1.19.7
2019-09-16 15:09:21 status half-configured dpkg 1.19.7
2019-09-16 15:09:21 status unpacked dpkg 1.19.7
2019-09-16 15:09:22 status half-installed dpkg 1.19.7
2019-09-16 15:09:31 status unpacked dpkg:amd64 1.19.7
2019-09-16 15:09:32 configure dpkg:amd64 1.19.7 1.19.7
2019-09-16 15:09:34 status half-configured dpkg:amd64 1.19.7
2019-09-16 15:09:34 status installed dpkg:amd64 1.19.7
2019-09-16 15:09:35 startup archives install
2019-09-16 15:09:36 install libc6:amd64 <none> 2.28-10
2019-09-16 15:09:36 status half-installed libc6:amd64 2.28-10
2019-09-16 15:09:58 status unpacked libc6:amd64 2.28-10
2019-09-16 15:09:59 configure libc6:amd64 2.28-10 2.28-10
2019-09-16 15:10:00 status half-configured libc6:amd64 2.28-10
2019-09-16 15:10:01 status installed libc6:amd64 2.28-10
2019-09-16 15:10:02 startup archives install
2019-09-16 15:10:03 install perl-base:amd64 <none> 5.28.1-6
2019-09-16 15:10:03 status half-installed perl-base:amd64 5.28.1-6
